Year,Team,Pace,ORtg,DRtg,NRtg,TS%,eFG%,TOV%,ORB%,FT/FGA
1987,San Antonio Spurs,101.7,105.9,110.8,-4.9,0.525,0.514,14.5,34.3,0.244
1987,New York Knicks,98.5,104.8,111.1,-6.3,0.528,0.497,14.6,31.2,0.27
1987,Los Angeles Clippers,102.7,101.2,112.3,-11.1,0.508,0.526,15.5,31.8,0.258
1988,Boston Celtics,97.9,115.4,109.4,6.0,0.588,0.489,12.5,29.8,0.237
1988,Los Angeles Lakers,99.1,113.1,107.3,5.8,0.566,0.484,13.0,32.3,0.206
1988,Detroit Pistons,98.3,110.5,105.3,5.2,0.548,0.475,14.0,34.2,0.245
1988,Dallas Mavericks,97.0,112.2,107.7,4.5,0.54,0.481,13.0,37.5,0.203
1988,Portland Trail Blazers,103.6,111.8,107.4,4.4,0.55,0.485,14.5,34.3,0.275
1988,Denver Nuggets,105.5,110.1,106.3,3.8,0.534,0.498,16.0,29.7,0.26
1988,Utah Jazz,101.5,106.8,103.1,3.7,0.546,0.459,14.9,30.4,0.262
1988,Atlanta Hawks,96.4,111.3,107.6,3.7,0.541,0.481,14.2,34.3,0.28
1988,Chicago Bulls,95.5,109.0,105.5,3.5,0.539,0.478,13.5,34.0,0.24
1988,Seattle SuperSonics,100.2,110.2,108.1,2.1,0.536,0.495,15.9,36.3,0.33
1988,Houston Rockets,101.8,107.1,105.7,1.4,0.529,0.473,14.2,33.1,0.243
1988,Cleveland Cavaliers,97.3,106.8,106.0,0.8,0.547,0.485,15.2,31.0,0.227
1988,Milwaukee Bucks,97.6,108.2,107.6,0.6,0.536,0.483,14.2,31.8,0.259
1988,New York Knicks,99.1,105.9,106.4,-0.5,0.525,0.486,17.0,36.0,0.324
1988,Washington Bullets,98.1,106.5,107.2,-0.7,0.524,0.487,14.4,34.2,0.231
1988,Indiana Pacers,98.0,106.6,107.4,-0.8,0.535,0.481,13.5,30.1,0.263
1988,Philadelphia 76ers,96.0,108.8,110.3,-1.5,0.543,0.506,13.8,35.4,0.232
1988,Phoenix Suns,101.2,107.0,111.4,-4.4,0.538,0.507,13.4,31.5,0.265
1988,San Antonio Spurs,104.4,108.2,112.8,-4.6,0.54,0.512,14.0,32.0,0.242
1988,Sacramento Kings,100.9,106.5,112.1,-5.6,0.53,0.506,12.3,33.7,0.237
1988,New Jersey Nets,98.6,101.4,109.6,-8.2,0.523,0.506,15.2,30.4,0.274
1988,Golden State Warriors,101.6,104.7,112.9,-8.2,0.524,0.511,14.4,31.2,0.283
1988,Los Angeles Clippers,100.8,97.4,107.6,-10.2,0.494,0.486,14.8,30.9,0.244
1989,Cleveland Cavaliers,98.0,110.6,102.9,7.7,0.559,0.473,15.0,31.2,0.185
1989,Phoenix Suns,104.5,113.1,105.7,7.4,0.56,0.476,13.5,30.8,0.225
1989,Los Angeles Lakers,100.1,113.8,106.7,7.1,0.57,0.482,13.0,33.0,0.205
1989,Detroit Pistons,95.5,110.8,104.7,6.1,0.551,0.458,13.2,34.5,0.26
1989,Utah Jazz,98.0,106.6,101.5,5.1,0.55,0.447,13.9,32.0,0.246
1989,Atlanta Hawks,98.3,112.2,107.2,5.0,0.54,0.482,15.4,37.1,0.256
1989,Milwaukee Bucks,98.6,110.1,106.4,3.7,0.544,0.493,16.1,32.7,0.266
1989,New York Knicks,104.4,111.1,107.5,3.6,0.553,0.504,16.7,36.2,0.249
1989,Seattle SuperSonics,100.1,111.5,108.6,2.9,0.539,0.498,16.0,38.3,0.271
1989,Denver Nuggets,107.5,108.6,107.1,1.5,0.528,0.505,15.6,29.6,0.264
1989,Philadelphia 76ers,98.5,113.0,111.5,1.5,0.552,0.513,13.4,32.2,0.215
1989,Chicago Bulls,97.0,109.1,107.7,1.4,0.553,0.487,13.5,30.7,0.239
1989,Portland Trail Blazers,103.9,109.4,108.0,1.4,0.53,0.501,15.7,36.7,0.264
1989,Boston Celtics,98.1,110.8,109.6,1.2,0.548,0.493,12.7,34.7,0.248
1989,Houston Rockets,101.8,105.7,104.8,0.9,0.535,0.481,14.9,33.3,0.248
1989,Golden State Warriors,107.3,107.4,107.7,-0.3,0.529,0.479,14.6,33.4,0.24
1989,Dallas Mavericks,95.9,107.4,108.6,-1.2,0.536,0.48,12.5,29.5,0.215
1989,Washington Bullets,100.8,106.4,108.5,-2.1,0.516,0.493,14.2,33.1,0.267
1989,Indiana Pacers,99.2,106.8,111.0,-4.2,0.552,0.478,12.4,31.5,0.275
