Year,Team,TS%,eFG%,FT/FGA,ORtg
1994,New York Knicks*,0.527,0.451,0.261,105.7
1994,San Antonio Spurs*,0.537,0.467,0.196,110.4
1994,Atlanta Hawks*,0.523,0.475,0.185,107.2
1994,Phoenix Suns*,0.548,0.493,0.202,111.7
1994,Utah Jazz*,0.537,0.469,0.267,108.6
1994,Houston Rockets*,0.545,0.458,0.192,105.9
1994,Cleveland Cavaliers*,0.537,0.484,0.215,109.4
1994,Orlando Magic*,0.547,0.479,0.214,110.8
1994,Indiana Pacers*,0.547,0.471,0.267,107.8
1994,Chicago Bulls*,0.526,0.482,0.225,106.1
1994,Miami Heat*,0.538,0.479,0.284,109.5
1994,Portland Trail Blazers*,0.518,0.49,0.235,108.1
1994,New Jersey Nets*,0.515,0.475,0.212,107.2
1994,Golden State Warriors*,0.542,0.488,0.21,108.3
1994,Denver Nuggets*,0.524,0.453,0.252,103.9
1994,Charlotte Hornets,0.543,0.492,0.205,108.4
1994,Boston Celtics,0.521,0.494,0.238,104.2
1994,Los Angeles Lakers,0.503,0.492,0.24,104.8
1994,Los Angeles Clippers,0.521,0.494,0.213,102.9
1994,Sacramento Kings,0.516,0.499,0.252,103.3
1994,Milwaukee Bucks,0.512,0.513,0.254,102.5
1994,Minnesota Timberwolves,0.525,0.488,0.259,101.9
1994,Washington Bullets,0.529,0.526,0.206,104.5
1994,Philadelphia 76ers,0.518,0.502,0.177,101.7
1994,Detroit Pistons,0.511,0.493,0.262,102.7
1994,Dallas Mavericks,0.492,0.513,0.283,100.4
1995,Utah Jazz*,0.587,0.496,0.292,114.3
1995,Seattle SuperSonics*,0.575,0.492,0.278,114.8
1995,Orlando Magic*,0.569,0.49,0.22,115.1
1995,San Antonio Spurs*,0.562,0.485,0.214,111.7
1995,Chicago Bulls*,0.546,0.488,0.263,109.5
1995,Phoenix Suns*,0.567,0.515,0.228,114.5
1995,Portland Trail Blazers*,0.521,0.491,0.277,109.7
1995,Indiana Pacers*,0.557,0.493,0.237,109.6
1995,Charlotte Hornets*,0.562,0.485,0.202,109.6
1995,New York Knicks*,0.55,0.468,0.281,107.2
1995,Houston Rockets*,0.568,0.489,0.199,109.7
1995,Atlanta Hawks*,0.525,0.495,0.215,106.6
1995,Denver Nuggets*,0.556,0.487,0.257,109.1
1995,Cleveland Cavaliers*,0.52,0.493,0.224,105.3
1995,Los Angeles Lakers*,0.539,0.5,0.224,109.1
1995,Sacramento Kings,0.538,0.481,0.28,105.5
1995,Miami Heat,0.54,0.51,0.264,108.2
1995,Boston Celtics*,0.537,0.512,0.235,108.6
1995,Dallas Mavericks,0.509,0.519,0.208,107.6
1995,New Jersey Nets,0.519,0.493,0.217,105.2
1995,Milwaukee Bucks,0.537,0.53,0.23,106.2
1995,Golden State Warriors,0.547,0.522,0.216,106.7
1995,Philadelphia 76ers,0.521,0.5,0.235,104.1
1995,Washington Bullets,0.529,0.512,0.262,105.4
1995,Detroit Pistons,0.538,0.51,0.299,105.1
1995,Los Angeles Clippers,0.508,0.526,0.29,101.5
1995,Minnesota Timberwolves,0.532,0.51,0.28,102.6
1996,Chicago Bulls*,0.555,0.482,0.222,115.2
1996,Seattle SuperSonics*,0.574,0.479,0.252,110.3
1996,Utah Jazz*,0.566,0.489,0.295,113.3
1996,San Antonio Spurs*,0.558,0.472,0.216,110.2
1996,Orlando Magic*,0.562,0.491,0.223,112.9
1996,Los Angeles Lakers*,0.555,0.491,0.205,111.4
1996,Indiana Pacers*,0.56,0.491,0.271,110.8
1996,Cleveland Cavaliers*,0.551,0.506,0.242,109.9
1996,Detroit Pistons*,0.551,0.483,0.229,107.9
1996,Portland Trail Blazers*,0.528,0.478,0.236,106.0
1996,New York Knicks*,0.55,0.476,0.251,106.0
1996,Houston Rockets*,0.555,0.495,0.206,109.3
1996,Miami Heat*,0.541,0.469,0.298,105.3
1996,Atlanta Hawks*,0.534,0.512,0.217,109.4
1996,Washington Bullets,0.558,0.489,0.274,108.7
1996,Phoenix Suns*,0.551,0.511,0.225,110.3
1996,Charlotte Hornets,0.558,0.529,0.217,111.2
1996,Golden State Warriors,0.539,0.51,0.232,108.4
1996,Denver Nuggets,0.526,0.492,0.237,105.2
1996,Sacramento Kings*,0.54,0.498,0.302,106.2
1996,Boston Celtics,0.534,0.511,0.258,106.4
1996,Los Angeles Clippers,0.544,0.512,0.282,106.5
1996,New Jersey Nets,0.497,0.495,0.223,101.9
1996,Dallas Mavericks,0.507,0.526,0.222,106.1
1996,Minnesota Timberwolves,0.535,0.509,0.267,104.1
